##################################################
# DATA EXPORT AND TRANSFORMATION REPORT
#
# Original File: 110 uL a1 0,075 ph 4,35.xlsx
# Experiment Start Date/Time: 27-06-2025 15:54:10
# Processing Date: 10-07-2025 8:48:42
#
# Operations Performed:
# - Column 1 (Time): Read from Excel Column B (milliseconds), divided by 1000.
# - Column 2 (Absorbance): Read from Excel Column C, comma decimal converted to dot decimal.
##################################################

Time (s)	UA
11.837	8.43139558590691E-02
12.442	8.46194499399042E-02
12.971	8.42332538575835E-02
13.499	8.47951117141529E-02
14.024	0.084321065701002
14.548	8.44827385263196E-02
15.08	8.50042922914389E-02
15.609	8.48293534672546E-02
16.138	8.49006586891413E-02
16.666	8.52064655232613E-02
17.198	8.48531818973656E-02
17.726	8.47746880810558E-02
18.259	8.42220874297264E-02
18.787	8.50456329872297E-02
19.32	8.47447511887956E-02
19.939	8.47925083756704E-02
20.521	8.45765988968899E-02
21.136	8.47968633229775E-02
21.668	8.44978421770294E-02
22.193	8.47156891485635E-02
22.726	8.48542744706934E-02
23.251	8.47108123628224E-02
23.783	8.46231451045893E-02
24.311	8.42553583240553E-02
24.843	8.45004433802453E-02
25.373	8.49592767205011E-02
25.905	8.42819355035395E-02
26.433	8.43147680378476E-02
26.965	8.45876206326165E-02
27.493	8.45818520011245E-02
28.025	8.42364025217543E-02
28.553	8.42560254169642E-02
29.085	8.46359380713436E-02
29.613	8.41292100841923E-02
30.144	8.45399652447225E-02
30.674	8.44810987238679E-02
31.205	8.44778682600297E-02
31.733	8.44490986002955E-02
32.266	8.49893849686789E-02
32.793	8.48739236239699E-02
33.321	8.47213274690356E-02
33.849	8.44389200527302E-02
34.38	8.44447367240872E-02
34.909	8.47536480953244E-02
35.434	8.46034376999079E-02
35.958	0.084681315816805
36.485	8.47001782657889E-02
37.011	8.48427541451704E-02
37.539	8.46572042910825E-02
38.067	8.53455613230957E-02
38.6	8.51011690080901E-02
39.128	8.46613999747333E-02
39.66	8.50815536687621E-02
40.209	8.52582032875953E-02
40.83	8.47952298424586E-02
41.358	8.46939090912821E-02
41.89	8.50213175156717E-02
42.419	8.53644634792916E-02
42.946	8.50049786050897E-02
43.474	8.47751693450565E-02
44.005	8.54536991267981E-02
44.533	8.53823601122749E-02
45.062	8.54239501487027E-02
45.588	8.50456049285037E-02
46.119	8.49737830463355E-02
46.645	8.53669226442225E-02
47.177	8.49953110170057E-02
47.706	8.48472676068109E-02
48.239	8.53504056019296E-02
48.767	8.52540723018125E-02
49.3	8.48367780263106E-02
49.826	8.48508016162994E-02
50.358	8.44349734971022E-02
50.886	8.53809700841375E-02
51.418	8.52063156332858E-02
51.946	8.55391272047119E-02
52.479	8.53836863393615E-02
53.007	8.49272652741584E-02
53.541	8.45169439344724E-02
54.068	8.46421315728405E-02
54.599	8.47909632552334E-02
55.13	8.49327639563369E-02
55.66	8.49506737663435E-02
56.185	8.55859634859193E-02
56.713	8.52214831585646E-02
57.238	8.54179638116311E-02
57.766	8.49689240533748E-02
58.292	8.49229762614536E-02
58.824	8.51588919488082E-02
59.353	8.49998136946403E-02
59.885	8.52996188372131E-02
60.441	8.49282636942966E-02
61.065	8.54271518782413E-02
61.59	8.48461361982344E-02
62.122	8.45369329979471E-02
62.65	8.49800512294139E-02
63.182	8.51051759873209E-02
63.708	8.54459182627895E-02
64.24	8.50012460174046E-02
64.768	8.48191945393809E-02
65.3	8.45129371781705E-02
65.826	8.47554842205714E-02
66.359	8.52229951912792E-02
66.887	8.48942039696105E-02
67.42	8.53772092924822E-02
67.949	8.49197522884385E-02
68.483	8.47728416277474E-02
69.011	0.085275334096332
69.543	8.51428693023845E-02
70.071	8.53973061495083E-02
70.602	8.50094408354946E-02
71.129	8.49929677666087E-02
71.657	8.49877748789415E-02
72.185	0.084619107851888
72.717	8.48109734192633E-02
73.245	8.46718362717442E-02
73.778	8.53437024206642E-02
74.306	8.45993333630463E-02
74.838	8.47563630112554E-02
75.368	0.085233221025346
75.9	8.45954904047379E-02
76.429	8.49106301734813E-02
76.961	8.45426199917741E-02
77.489	8.45555010765999E-02
78.022	8.49045763047842E-02
78.547	0.084692164482796
79.075	8.53368590815362E-02
79.601	8.51652085547442E-02
80.142	8.41431718928609E-02
80.744	8.41150892755592E-02
81.277	8.46275637921475E-02
81.806	8.42026774810569E-02
82.338	8.43180047634879E-02
82.868	0.08470916306062
83.4	8.45397217684674E-02
83.928	8.40190486455145E-02
84.456	8.40009438484283E-02
84.984	8.39771308220287E-02
85.517	8.44542765714292E-02
86.046	8.43548748037707E-02
86.579	8.39299186260183E-02
87.108	8.43937331678554E-02
87.64	8.47266640941889E-02
88.169	8.38522803261292E-02
88.701	8.42052100142723E-02
89.306	8.43439483683451E-02
89.838	8.41613007983967E-02
90.364	8.42791742641137E-02
90.896	8.41407131494108E-02
91.424	8.41611655743661E-02
91.956	8.40409619949271E-02
92.485	8.43371335729337E-02
93.018	8.38599166400266E-02
93.546	0.084250555061156
94.078	8.41289837465178E-02
94.608	8.38993512252679E-02
95.139	8.37229908994942E-02
95.667	8.37963247712952E-02
96.199	8.35883810868282E-02
96.728	8.36854095617796E-02
97.259	8.38855438670063E-02
97.789	8.34581651934663E-02
98.318	8.37131694468675E-02
98.846	8.34391679505497E-02
99.373	8.34527545225052E-02
99.901	8.36171585348772E-02
100.45	8.33311984386953E-02
101.059	0.083375559033983
101.591	8.35265087774669E-02
102.12	8.33356696717564E-02
102.653	8.32575782514213E-02
103.181	8.32784979251003E-02
103.714	8.36519378928708E-02
104.24	8.34680457104412E-02
104.772	8.35230034223043E-02
105.301	8.36349920897542E-02
105.833	8.30904344852432E-02
106.361	8.33647095579908E-02
106.893	8.32808832857897E-02
107.421	8.32099651134245E-02
107.953	8.32032146053362E-02
108.478	8.34617734233683E-02
109.009	8.32290437415378E-02
109.538	8.31856559922321E-02
110.067	0.083119409501379
110.594	8.34776823868884E-02
111.125	8.37336056068019E-02
111.654	8.30496114295748E-02
112.186	8.37039268716451E-02
112.714	8.31626259395228E-02
113.247	0.082825272297655
113.774	8.34785931695504E-02
114.307	0.083659190531204
114.835	8.32910751720617E-02
115.368	8.31623051673446E-02
115.896	8.36803614002672E-02
116.429	0.083285790177535
116.958	8.36232339737791E-02
117.491	8.32717620937945E-02
118.02	8.34046671588874E-02
118.552	8.34982377402995E-02
119.08	8.32054337647968E-02
