##################################################
# DATA EXPORT AND TRANSFORMATION REPORT
#
# Original File: 110 uL a1p1 0,088 ph 4,4.xlsx
# Experiment Start Date/Time: 27-06-2025 17:21:20
# Processing Date: 10-07-2025 8:52:32
#
# Operations Performed:
# - Column 1 (Time): Read from Excel Column B (milliseconds), divided by 1000.
# - Column 2 (Absorbance): Read from Excel Column C, comma decimal converted to dot decimal.
##################################################

Time (s)	UA
11.692	7.00348110223363E-02
12.311	6.99464161617297E-02
12.841	7.03619091267328E-02
13.368	6.99573138687571E-02
13.898	7.00796017914316E-02
14.425	7.03395947753643E-02
14.955	7.04286645823738E-02
15.483	7.00314600943512E-02
16.015	7.00196410580379E-02
16.544	7.03354673656745E-02
17.077	7.02425001162682E-02
17.606	7.03487079320942E-02
18.137	7.03504435484446E-02
18.666	0.070073333156392
19.197	6.99699100933616E-02
19.726	7.05451422545167E-02
20.272	7.02650434985455E-02
20.863	7.00560856686671E-02
21.395	7.01509878912408E-02
21.924	7.02430670581074E-02
22.456	7.03590986990882E-02
22.982	7.06669837620287E-02
23.509	6.99848357797863E-02
24.038	7.08672127116974E-02
24.566	7.05533100843632E-02
25.094	7.07079180621677E-02
25.626	7.08609894506981E-02
26.155	7.07156047103521E-02
26.686	7.04893314579391E-02
27.215	7.03416950751222E-02
27.746	7.01887579100753E-02
28.274	7.04399130990329E-02
28.805	7.04459799110886E-02
29.334	7.02462672531184E-02
29.866	7.00552005937145E-02
30.394	7.01959437192161E-02
30.926	7.01485307549104E-02
31.455	7.06459197463905E-02
31.987	7.05646339444816E-02
32.515	7.01528608322505E-02
33.047	7.01834681659219E-02
33.575	7.06786158980684E-02
34.107	7.00705230216638E-02
34.637	7.01036230668351E-02
35.178	7.02222990294429E-02
35.704	7.04649504933336E-02
36.236	7.06577069619979E-02
36.764	7.04974813846651E-02
37.296	7.02412576042118E-02
37.896	7.04544404195616E-02
38.428	7.05768175034472E-02
38.954	7.02719982950301E-02
39.482	7.06166764252796E-02
40.029	0.070313801718803
40.644	7.04023509407375E-02
41.173	7.01644350531429E-02
41.704	7.06312567488032E-02
42.23	7.03698931520979E-02
42.758	7.02802991206296E-02
43.287	7.07130025576516E-02
43.821	7.06097506474834E-02
44.349	7.06900760411793E-02
44.88	7.08727977304579E-02
45.408	7.03757655335831E-02
45.94	7.10370413524711E-02
46.467	7.06291254166384E-02
46.998	0.070785365870175
47.527	7.01668541919175E-02
48.059	0.070247346012084
48.588	7.02525504497553E-02
49.119	7.06870346290936E-02
49.648	7.06610708534712E-02
50.18	7.05958545256546E-02
50.708	7.00515791158532E-02
51.24	7.06654538258048E-02
51.768	7.04094372735733E-02
52.301	7.00736790562561E-02
52.836	7.07482596365272E-02
53.369	7.00642606303308E-02
53.895	7.02895422090289E-02
54.427	7.03005656909947E-02
54.956	7.06555278224395E-02
55.488	0.070178584146061
56.015	7.00803260112538E-02
56.546	7.05096207468721E-02
57.075	6.99893390984298E-02
57.605	6.97062666892065E-02
58.133	7.03379090223861E-02
58.665	0.069829583032545
59.194	6.97382792881704E-02
59.726	0.069779172524051
60.268	6.96266247898536E-02
60.871	6.87695954658015E-02
61.4	6.92022582661707E-02
62.01	6.95168951301659E-02
62.538	6.93208820684262E-02
63.07	6.94425378931765E-02
63.595	6.93678835711306E-02
64.125	6.90945309140874E-02
64.653	6.92476619472886E-02
65.183	6.96769215952377E-02
65.71	6.94132874671848E-02
66.242	6.90879662296198E-02
66.77	6.88645568021155E-02
67.302	6.92296276895204E-02
67.831	6.93223680463785E-02
68.356	6.89873193270871E-02
68.881	6.91515185128628E-02
69.414	6.95061549141577E-02
69.942	6.92983661358073E-02
70.472	6.96071273965026E-02
71.001	6.91332017008155E-02
71.533	0.069305078819638
72.061	0.06910889783874
72.592	6.92830393807798E-02
73.118	6.88889290584522E-02
73.649	6.93576563493506E-02
74.178	6.90333254343496E-02
74.709	6.92479278423211E-02
75.237	6.92686460377506E-02
75.769	6.95427486186193E-02
76.294	6.91452070985048E-02
76.825	6.91842328114788E-02
77.354	6.90745866792943E-02
77.885	6.89042598801035E-02
78.414	6.87557686485655E-02
78.946	6.88400938209721E-02
79.474	6.90255941066201E-02
80.013	6.91896850423404E-02
80.618	0.068920447317668
81.15	6.90031766484045E-02
81.677	6.91700460128756E-02
82.208	6.92786467483525E-02
82.736	6.91996345241498E-02
83.266	6.88007178239896E-02
83.795	6.91598279825222E-02
84.327	6.94344438721767E-02
84.855	6.89576495884244E-02
85.386	6.88340048706435E-02
85.914	6.92980636733035E-02
86.447	6.95409003412479E-02
86.974	0.068885107322777
87.507	6.92646100658829E-02
88.036	6.95934710318492E-02
88.561	6.91552933362914E-02
89.086	6.87291386515267E-02
89.618	6.92919255915592E-02
90.147	6.89430826371766E-02
90.674	6.91153899722827E-02
91.201	0.069448473762024
91.73	6.96911902660333E-02
92.258	6.97534347745768E-02
92.79	6.94179074929719E-02
93.318	6.95149959916613E-02
93.845	0.0697333896038
94.373	6.97220799244684E-02
94.904	6.88364482246713E-02
95.431	6.94476000574566E-02
95.962	7.02521516540743E-02
96.488	7.02145042518943E-02
97.021	6.99291201222169E-02
97.551	0.070251290697316
98.083	6.93960710851313E-02
98.611	6.97531459264096E-02
99.144	6.98617728127051E-02
99.673	6.98408567400078E-02
100.22	7.00571142564569E-02
100.823	6.98806872895625E-02
101.354	6.99478976127122E-02
101.882	6.95753277816736E-02
102.413	6.97293639263729E-02
102.939	7.02186516380318E-02
103.471	6.96260081852282E-02
104	6.98628166940978E-02
104.527	6.95944453428845E-02
105.055	6.98997471759084E-02
105.587	0.069774842739662
106.111	6.89973928130373E-02
106.727	6.91331112764363E-02
107.255	6.97197464828735E-02
107.787	6.90989100399556E-02
108.314	7.00193590826615E-02
108.847	7.02831392709713E-02
109.374	7.01180340554795E-02
109.905	6.98205514979596E-02
110.434	6.98380118410945E-02
110.965	6.97598020707823E-02
111.493	6.98482389947343E-02
112.021	6.97136645004109E-02
112.548	6.98738090746034E-02
113.077	7.00012465518986E-02
113.605	6.92508494029354E-02
114.137	6.96190501829887E-02
114.666	6.97752621167359E-02
115.197	6.99177484544224E-02
115.8	7.02277256939705E-02
116.332	6.96578476972159E-02
116.859	0.069639599855092
117.392	7.01526763112972E-02
117.921	7.00684976326918E-02
118.45	6.98762004763046E-02
118.979	6.99777737212001E-02
119.511	7.05062765396088E-02
120.051	6.99294158284841E-02
120.654	7.06673993717411E-02
121.181	0.069885177676207
121.712	7.03541970922579E-02
122.241	7.03046911941741E-02
122.77	7.06663947384676E-02
123.298	0.070242006469796
123.827	7.01486918304953E-02
124.355	7.07742309969284E-02
124.886	7.01993385430698E-02
125.413	7.02032571266025E-02
125.945	7.02557905442716E-02
126.472	7.05852024518085E-02
127.004	0.070208370597968
127.532	7.02291792132782E-02
128.064	0.070326170635406
128.593	7.05435053743958E-02
129.124	7.05917754559808E-02
129.652	7.05130707997322E-02
130.184	7.06344161160241E-02
130.713	0.070390161311215
131.244	7.07378530372685E-02
131.772	0.070640857918375
132.302	7.07978865084862E-02
132.83	7.05156140362336E-02
133.361	7.08630721784244E-02
133.898	7.04324335443781E-02
134.43	0.070250754280142
134.958	0.070439139917547
135.49	7.08050092479051E-02
136.019	7.02374423238395E-02
136.548	7.06905825700067E-02
137.076	7.08148833575523E-02
137.607	7.09293793636763E-02
138.135	7.07397775279506E-02
138.668	0.070884201686926
139.196	7.07489760437892E-02
139.728	7.10884015343183E-02
140.268	7.09271209489944E-02
140.884	7.05368695346722E-02
141.412	7.11350177700104E-02
141.943	7.09951889986959E-02
142.471	7.10901272187362E-02
143.004	7.12164993501031E-02
143.532	7.03685392235003E-02
144.059	7.08998967324127E-02
144.587	7.04393183802357E-02
145.119	7.10922520819222E-02
145.645	7.13821528128628E-02
146.177	0.071190095175472
146.706	0.070818511898557
147.235	7.07078836863407E-02
147.762	7.09940693153918E-02
148.295	7.09632112198958E-02
148.824	7.10213019652019E-02
149.355	7.10822590091983E-02
149.883	7.12803125293915E-02
150.416	0.071217298732446
150.944	7.10250783319999E-02
151.472	7.09694171588029E-02
152	7.12571245302364E-02
152.532	7.17590896446446E-02
153.061	7.16453932007411E-02
153.592	7.17679711200294E-02
154.119	7.13995093760941E-02
154.651	7.16905938416743E-02
155.179	7.17992268873782E-02
155.711	7.20726396801417E-02
156.237	7.13542359260872E-02
156.77	7.18220555816995E-02
157.299	7.14647609330959E-02
157.83	7.18202051873617E-02
158.36	7.10690381047921E-02
158.892	7.13525216317656E-02
159.419	7.16532581359733E-02
159.951	7.15309291229866E-02
160.492	7.16914613177159E-02
161.105	7.19213333171829E-02
161.633	0.071628975174968
162.165	7.18753175964482E-02
162.693	7.19231316391999E-02
163.225	7.13370500126848E-02
163.753	7.18182098658195E-02
164.283	7.12821068418391E-02
164.811	0.071324513557151
165.342	7.14294919568902E-02
165.871	7.11759417913648E-02
166.403	7.18524239230764E-02
166.932	7.14619828086827E-02
167.464	7.21321892587306E-02
167.993	7.17474424772337E-02
168.524	7.16866920431852E-02
169.049	0.071722080352845
169.58	7.14931340784447E-02
170.108	7.15131326391765E-02
170.639	7.19904367061005E-02
171.167	7.18500945478758E-02
171.693	7.18339677026206E-02
172.221	7.14197842645762E-02
172.753	7.15632629687399E-02
173.281	0.071513457952699
173.813	7.17685953698875E-02
174.341	7.15754257256565E-02
174.872	7.16248644112026E-02
175.4	0.071963757407723
175.932	7.19079361414552E-02
176.462	7.16935182893795E-02
176.994	7.20357884389717E-02
